symbol,sector,weight%,price,fcast_vol%,mom_12_1%,vol_126%,score
SBC,Unknown,3.33,42.09,22.1,162.7,29.3,2.034
ATHERENERG,Automobile and Auto Components,1.87,1214.9,39.3,184.3,45.4,1.321
BELRISE,Automobile and Auto Components,2.19,232.66,33.6,102.3,40.1,1.269
FEDERALBNK,Financial Services,2.81,356.5,26.2,52.4,26.0,1.268
SANSERA,Unknown,2.01,3273.0,36.6,127.6,46.7,1.264
LAURUSLABS,Healthcare,1.9,1713.4,31.8,76.5,33.6,1.234
BHARATFORG,Automobile and Auto Components,2.61,2181.3,28.1,75.2,34.0,1.202
ACUTAAS,Healthcare,1.47,3367.8,41.1,173.0,50.2,1.111
STARHEALTH,Financial Services,2.82,592.05,26.1,33.0,24.1,1.109
TORNTPHARM,Healthcare,2.34,5019.5,25.7,28.9,23.4,1.09
SENORES,Unknown,1.9,1412.0,38.7,104.1,44.8,1.086
KIRLOSENG,Capital Goods,1.72,2283.1,42.7,164.8,51.3,1.063
PRIVISCL,Unknown,2.68,3623.6,27.4,47.7,29.6,1.05
GRANULES,Healthcare,2.1,842.8,28.7,52.1,31.2,1.037
LUPIN,Healthcare,2.81,2410.0,21.5,19.8,21.3,1.018
SYRMA,Capital Goods,1.93,1316.2,38.1,101.7,45.6,1.018
CUMMINSIND,Capital Goods,2.69,5629.5,27.3,57.4,33.3,1.01
APOLLOHOSP,Healthcare,3.64,8843.5,16.6,16.9,18.4,0.981
TDPOWERSYS,Unknown,1.82,1141.5,40.4,151.5,53.5,0.966
NYKAA,Consumer Services,2.77,326.75,26.5,38.6,29.1,0.961
IDEA,Telecommunication,2.18,13.06,33.7,81.2,41.2,0.956
GVT&D,Capital Goods,1.6,4202.3,45.8,108.6,49.2,0.948
NAVINFLUOR,Chemicals,2.53,7711.0,29.1,53.1,33.6,0.943
JAYNECOIND,Unknown,1.75,87.58,42.1,106.7,48.9,0.936
MARICO,Fast Moving Consumer Goods,4.1,858.65,17.9,12.6,18.8,0.928
AUROPHARMA,Healthcare,2.32,1549.4,26.0,34.7,28.9,0.92
NETWEB,Information Technology,1.82,4362.2,40.5,155.5,54.9,0.901
SUNPHARMA,Healthcare,3.09,1973.7,19.6,9.4,21.4,0.887
JSWSTEEL,Metals & Mining,3.32,1244.6,22.2,19.0,25.5,0.872
HFCL,Telecommunication,1.67,192.54,43.9,160.3,55.8,0.864
HONASA,Fast Moving Consumer Goods,2.6,452.75,28.3,41.9,32.3,0.859
TITAN,Consumer Durables,3.06,4740.1,24.1,25.0,27.6,0.857
FORTIS,Healthcare,2.62,942.3,23.1,17.8,25.8,0.846
HINDALCO,Metals & Mining,2.87,945.25,25.6,41.3,32.9,0.824
ASTRAMICRO,Unknown,2.17,1801.8,33.9,72.1,41.7,0.821
ZYDUSLIFE,Healthcare,2.72,1108.2,22.2,12.1,24.8,0.818
GRASIM,Construction Materials,3.34,3112.4,22.0,13.0,25.3,0.81
BAJAJ-AUTO,Automobile and Auto Components,2.83,11183.5,26.0,18.2,26.8,0.805
NTPC,Power,3.48,350.8,21.1,2.7,21.7,0.805
RBLBANK,Financial Services,2.56,362.85,28.8,38.3,32.7,0.798
